subgroup,sample,temp_C,pressure_mTorr,thickness_A,leakage_nA,defects_per_wafer
1,1,1000.75,51.75,501.4,0.722,1
1,2,999.79,49.21,500.6,1.02,0
1,3,1000.97,49.55,498.2,1.202,2
1,4,1002.28,50.08,500.2,1.214,1
1,5,999.65,49.6,498.8,1.065,1
2,1,999.65,48.76,500.3,1.387,1
2,2,1002.37,50.05,502.0,0.88,0
2,3,1001.15,49.15,504.8,1.157,3
2,4,999.3,50.38,496.3,1.236,4
2,5,1000.81,49.26,506.4,1.354,4
3,1,999.3,51.24,494.1,1.413,2
3,2,999.3,49.37,499.5,0.863,0
3,3,1000.36,49.74,501.8,0.74,3
3,4,997.13,50.65,500.8,1.583,2
3,5,997.41,49.02,498.1,1.3,1
4,1,999.16,50.18,499.4,0.975,2
4,2,998.48,51.05,498.5,1.665,3
4,3,1000.47,48.71,498.2,1.235,2
4,4,998.64,50.15,502.5,1.554,2
4,5,997.88,50.21,501.1,1.22,4
5,1,1002.2,50.63,497.9,1.818,0
5,2,999.66,49.01,502.7,1.727,3
5,3,1000.1,48.94,500.9,1.125,5
5,4,997.86,50.42,502.4,1.491,1
5,5,999.18,50.24,501.9,1.394,1
6,1,1000.17,50.2,497.5,1.611,3
6,2,998.27,50.28,498.3,0.911,1
6,3,1000.56,49.46,502.2,1.406,1
6,4,999.1,50.19,501.8,1.518,2
6,5,999.56,50.23,499.9,0.672,2
7,1,999.1,49.43,500.4,0.845,3
7,2,1002.78,51.49,503.8,0.588,1
7,3,999.98,50.38,498.2,1.119,3
7,4,998.41,49.05,501.6,1.415,2
7,5,1001.23,50.53,499.4,1.651,2
8,1,998.17,49.22,499.3,1.222,6
8,2,1000.31,50.63,503.3,1.689,3
8,3,997.06,50.93,502.5,0.786,3
8,4,998.01,49.34,502.4,0.689,2
8,5,1000.3,50.77,503.9,1.183,4
9,1,1001.11,50.33,500.1,1.315,0
9,2,1000.26,50.66,502.0,1.19,2
9,3,999.83,51.52,499.1,0.58,1
9,4,999.55,49.8,501.0,1.173,3
9,5,997.78,49.4,499.6,0.809,2
10,1,998.92,46.14,500.3,1.401,1
10,2,999.31,51.64,501.8,1.31,1
10,3,1001.59,55.24,497.5,0.918,3
10,4,1000.52,52.85,506.3,1.046,1
10,5,997.36,46.42,497.0,0.882,1
11,1,1000.49,49.45,496.4,1.181,2
11,2,999.42,53.18,503.5,1.487,0
11,3,998.98,49.39,502.4,0.904,3
11,4,1000.92,50.9,501.9,1.351,3
11,5,1001.55,54.11,501.9,1.041,1
12,1,1001.4,48.18,500.0,0.962,2
12,2,998.74,49.17,497.3,1.168,3
12,3,999.54,41.04,500.2,0.889,2
12,4,1000.5,47.83,498.0,1.034,3
12,5,1001.46,49.19,502.9,0.841,2
13,1,999.28,47.45,499.6,1.789,0
13,2,999.72,54.46,497.5,1.211,1
13,3,998.34,46.37,499.0,0.99,1
13,4,998.21,48.22,501.2,1.264,1
13,5,1001.22,49.11,498.3,1.166,1
14,1,1002.03,53.25,497.5,1.134,0
14,2,999.89,47.1,500.7,1.384,2
14,3,1001.51,53.08,500.7,1.427,1
14,4,1000.54,49.03,498.5,1.041,3
14,5,999.03,47.68,498.6,1.027,2
15,1,1000.54,50.31,500.7,1.117,2
15,2,1002.31,49.29,495.7,0.509,0
15,3,999.95,50.12,495.8,0.745,1
15,4,1002.35,50.05,497.8,1.61,2
15,5,996.07,49.09,499.4,1.693,3
16,1,1001.23,50.29,500.9,1.125,2
16,2,1000.13,50.45,504.4,1.373,4
16,3,999.55,50.87,502.6,1.293,4
16,4,1000.14,50.84,499.5,2.124,3
16,5,997.02,48.9,499.9,1.536,3
17,1,999.67,49.25,497.0,1.162,4
17,2,1000.54,50.41,499.9,0.913,1
17,3,1002.22,50.41,499.1,0.718,3
17,4,999.22,50.41,501.0,1.261,4
17,5,998.79,53.08,497.5,0.973,4
18,1,1003.25,50.46,501.6,0.773,4
18,2,1005.37,50.91,504.6,1.006,1
18,3,1004.49,50.76,499.7,0.876,2
18,4,1003.21,50.52,501.2,1.706,3
18,5,1004.77,49.75,502.1,1.464,4
19,1,1004.15,50.61,498.8,1.198,4
19,2,1005.45,49.38,500.7,1.644,2
19,3,1002.95,49.81,500.0,1.223,4
19,4,1003.51,49.61,500.3,0.942,4
19,5,1003.41,50.07,497.7,1.657,5
20,1,1001.8,51.85,500.1,1.362,3
20,2,1004.44,48.51,501.5,0.889,8
20,3,1004.39,50.55,504.4,1.143,6
20,4,1004.01,48.71,502.9,0.937,5
20,5,1003.65,49.62,506.5,0.785,10
21,1,1001.88,50.87,497.7,1.478,3
21,2,1003.37,50.05,502.6,1.773,4
21,3,1003.49,49.14,500.6,0.78,7
21,4,1002.8,49.43,506.6,1.369,4
21,5,1003.76,50.54,497.6,1.005,10
22,1,1004.61,49.42,497.5,4.554,4
22,2,1006.83,50.17,498.2,4.522,3
22,3,1004.26,50.04,493.6,4.441,3
22,4,1004.39,49.48,498.4,4.715,5
22,5,1003.89,51.72,497.7,4.451,9
23,1,1001.12,50.51,500.5,1.281,4
23,2,1003.96,48.38,501.0,1.185,7
23,3,1004.09,50.15,505.6,1.128,6
23,4,1007.69,49.47,502.9,0.928,6
23,5,1003.71,50.68,498.3,1.027,8
24,1,1004.45,49.37,497.3,1.427,4
24,2,1003.95,49.91,501.5,1.35,7
24,3,1002.25,50.4,496.0,0.907,14
24,4,1005.71,50.69,505.5,1.23,4
24,5,1005.13,49.04,503.5,1.425,6
25,1,1005.19,49.73,498.6,0.699,8
25,2,1002.64,49.62,494.9,1.363,9
25,3,1006.1,49.48,504.1,1.001,6
25,4,1001.9,51.41,499.7,1.371,6
25,5,1004.88,50.32,503.7,0.971,5
